import time: self [us] | cumulative | imported package
import time:       110 |        110 |   _io
import time:        20 |         20 |   marshal
import time:       173 |        173 |   posix
import time:       488 |        790 | _frozen_importlib_external
import time:       675 |        675 |   time
import time:       152 |        827 | zipimport
import time:       109 |        109 |     _codecs
import time:       574 |        682 |   codecs
import time:       544 |        544 |   encodings.aliases
import time:       702 |       1927 | encodings
import time:       357 |        357 | encodings.utf_8
import time:        59 |         59 | _signal
import time:        30 |         30 |     _abc
import time:       392 |        422 |   abc
import time:       447 |        868 | io
import time:        33 |         33 |       _stat
import time:       275 |        307 |     stat
import time:       854 |        854 |     _collections_abc
import time:       162 |        162 |       genericpath
import time:       339 |        501 |     posixpath
import time:       629 |       2290 |   os
import time:       292 |        292 |   _sitebuiltins
import time:       580 |        580 |   _virtualenv
import time:        40 |         40 |   sitecustomize
import time:      1340 |       4540 | site
import time:       130 |        130 |       backend
import time:        89 |        218 |     backend.app
import time:       267 |        485 |   backend.app.auth
import time:       247 |        247 |         authlib.consts
import time:       341 |        588 |       authlib
import time:       211 |        798 |     authlib.integrations
import time:        98 |         98 |           authlib.common
import time:       190 |        287 |         authlib.common.errors
import time:       202 |        489 |       authlib.integrations.base_client.errors
import time:       366 |        366 |                 types
import time:       564 |        930 |               enum
import time:        40 |         40 |                 _sre
import time:       695 |        695 |                   sre_constants
import time:       381 |       1075 |                 sre_parse
import time:       362 |       1476 |               sre_compile
import time:        58 |         58 |                   itertools
import time:       139 |        139 |                   keyword
import time:        35 |         35 |                     _operator
import time:       305 |        340 |                   operator
import time:       225 |        225 |                   reprlib
import time:        74 |         74 |                   _collections
import time:       670 |       1503 |                 collections
import time:        28 |         28 |                 _functools
import time:       542 |       2072 |               functools
import time:        34 |         34 |               _locale
import time:       296 |        296 |               copyreg
import time:       446 |       5251 |             re
import time:       602 |        602 |               _json
import time:       349 |        951 |             json.scanner
import time:       408 |       6610 |           json.decoder
import time:       390 |        390 |           json.encoder
import time:       305 |       7304 |         json
import time:       131 |       7434 |       authlib.integrations.base_client.framework_integration
import time:       148 |        148 |       authlib.integrations.base_client.registry
import time:       248 |        248 |                 token
import time:       697 |        945 |               tokenize
import time:       264 |       1208 |             linecache
import time:       372 |       1580 |           traceback
import time:       349 |        349 |           warnings
import time:       232 |        232 |             _weakrefset
import time:       441 |        673 |           weakref
import time:       284 |        284 |           collections.abc
import time:        20 |         20 |             _string
import time:       505 |        524 |           string
import time:       578 |        578 |           threading
import time:        21 |         21 |           atexit
import time:      1286 |       5292 |         logging
import time:       458 |        458 |             math
import time:       268 |        268 |               _bisect
import time:       254 |        522 |             bisect
import time:       472 |        472 |             _random
import time:       286 |        286 |             _sha512
import time:       468 |       2204 |           random
import time:       130 |       2334 |         authlib.common.security
import time:       217 |        217 |             urllib
import time:       669 |        886 |           urllib.parse
import time:       405 |        405 |                 _struct
import time:       183 |        587 |               struct
import time:       357 |        357 |               binascii
import time:       267 |       1209 |             base64
import time:       120 |       1329 |           authlib.common.encoding
import time:       208 |       2422 |         authlib.common.urls
import time:       321 |      10368 |       authlib.integrations.base_client.sync_app
import time:       130 |        130 |         joserfc
import time:        92 |         92 |             joserfc._rfc7519
import time:       413 |        413 |               _datetime
import time:       685 |       1097 |             datetime
import time:       621 |        621 |               locale
import time:       448 |       1069 |             calendar
import time:       551 |        551 |               contextlib
import time:      1466 |       2017 |             typing
import time:       127 |        127 |             joserfc.util
import time:       389 |        389 |             joserfc.errors
import time:       360 |       5147 |           joserfc._rfc7519.claims
import time:       403 |        403 |           joserfc._rfc7519.security
import time:        96 |         96 |               joserfc._rfc7515
import time:       243 |        243 |                 joserfc.registry
import time:       154 |        396 |               joserfc._rfc7515.types
import time:       439 |        930 |             joserfc._rfc7515.model
import time:        91 |         91 |                   joserfc._rfc7517
import time:       156 |        247 |                 joserfc._rfc7517.types
import time:        88 |         88 |                   joserfc._rfc7518
import time:      1437 |       1437 |                       _hashlib
import time:       367 |        367 |                         _blake2
import time:       330 |        696 |                       hashlib
import time:       257 |       2390 |                     hmac
import time:       269 |       2659 |                   secrets
import time:       123 |        123 |                     joserfc._rfc7638
import time:       100 |        100 |                     joserfc._rfc9278
import time:      1006 |       1228 |                   joserfc._rfc7517.models
import time:       187 |       4160 |                 joserfc._rfc7518.oct_key
import time:       233 |        233 |                             __future__
import time:       294 |        294 |                             cryptography.__about__
import time:       242 |        768 |                           cryptography
import time:       170 |        937 |                         cryptography.hazmat
import time:       670 |       1606 |                       cryptography.hazmat.primitives
import time:       165 |       1770 |                     cryptography.hazmat.primitives.asymmetric
import time:        92 |         92 |                       cryptography.hazmat.bindings
import time:       645 |        645 |                       _cffi_backend
import time:      2239 |       2975 |                     cryptography.hazmat.bindings._rust
import time:       330 |        330 |                       cryptography.utils
import time:       701 |        701 |                       cryptography.hazmat.primitives.hashes
import time:       296 |       1326 |                     cryptography.hazmat.primitives._serialization
import time:       248 |        248 |                     cryptography.hazmat.primitives._asymmetric
import time:       110 |        110 |                     cryptography.hazmat.primitives.asymmetric.utils
import time:       324 |       6750 |                   cryptography.hazmat.primitives.asymmetric.rsa
import time:       478 |        478 |                       cryptography.x509.certificate_transparency
import time:       677 |        677 |                         cryptography.hazmat._oid
import time:       170 |        846 |                       cryptography.x509.oid
import time:       763 |        763 |                           ipaddress
import time:       245 |        245 |                             email
import time:       885 |        885 |                               _socket
import time:       567 |        567 |                                 select
import time:       574 |       1140 |                               selectors
import time:        27 |         27 |                               errno
import time:       477 |        477 |                               array
import time:       777 |       3305 |                             socket
import time:       211 |        211 |                             email._parseaddr
import time:       190 |        190 |                               email.base64mime
import time:       238 |        238 |                               email.quoprimime
import time:       767 |        767 |                               email.errors
import time:       200 |        200 |                                 quopri
import time:       163 |        363 |                               email.encoders
import time:       248 |       1803 |                             email.charset
import time:       412 |       5974 |                           email.utils
import time:      4725 |       4725 |                           cryptography.x509.name
import time:       271 |      11732 |                         cryptography.x509.general_name
import time:       108 |      11839 |                       cryptography.x509.verification
import time:       137 |        137 |                         cryptography.hazmat.primitives.asymmetric.dsa
import time:       226 |        226 |                           cryptography.exceptions
import time:       329 |        554 |                         cryptography.hazmat.primitives.asymmetric.ec
import time:       169 |        169 |                         cryptography.hazmat.primitives.asymmetric.ed448
import time:       112 |        112 |                         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       231 |        231 |                         cryptography.hazmat.primitives.asymmetric.mldsa
import time:       240 |        240 |                         cryptography.hazmat.primitives.asymmetric.padding
import time:       110 |        110 |                         cryptography.hazmat.primitives.asymmetric.x448
import time:       108 |        108 |                         cryptography.hazmat.primitives.asymmetric.x25519
import time:       148 |        148 |                           cryptography.hazmat.primitives.asymmetric.dh
import time:       130 |        130 |                           cryptography.hazmat.primitives.asymmetric.mlkem
import time:       169 |        446 |                         cryptography.hazmat.primitives.asymmetric.types
import time:        87 |         87 |                           cryptography.hazmat.primitives.constant_time
import time:       127 |        127 |                             cryptography.hazmat.primitives.serialization.base
import time:        43 |         43 |                                       org
import time:         8 |         51 |                                     org.python
import time:         7 |         57 |                                   org.python.core
import time:       246 |        303 |                                 copy
import time:        30 |         30 |                                     _ast
import time:       666 |        695 |                                   ast
import time:       393 |        393 |                                       _opcode
import time:       242 |        635 |                                     opcode
import time:       376 |       1010 |                                   dis
import time:       214 |        214 |                                     importlib
import time:       231 |        445 |                                   importlib.machinery
import time:       838 |       2986 |                                 inspect
import time:       444 |       3732 |                               dataclasses
import time:       110 |        110 |                                 cryptography.hazmat.primitives._cipheralgorithm
import time:        86 |         86 |                                         cryptography.hazmat.decrepit
import time:       113 |        199 |                                       cryptography.hazmat.decrepit.ciphers
import time:       120 |        120 |                                       cryptography.hazmat.primitives._modes
import time:       139 |        456 |                                     cryptography.hazmat.decrepit.ciphers.modes
import time:       212 |        212 |                                       cryptography.hazmat.decrepit.ciphers.algorithms
import time:       135 |        347 |                                     cryptography.hazmat.primitives.ciphers.algorithms
import time:       215 |       1018 |                                   cryptography.hazmat.primitives.ciphers.modes
import time:       360 |       1377 |                                 cryptography.hazmat.primitives.ciphers.base
import time:       109 |       1595 |                               cryptography.hazmat.primitives.ciphers
import time:       645 |        645 |                                 bcrypt._bcrypt
import time:       133 |        777 |                               bcrypt
import time:       871 |       6974 |                             cryptography.hazmat.primitives.serialization.ssh
import time:       109 |       7209 |                           cryptography.hazmat.primitives.serialization
import time:       959 |       8254 |                         cryptography.x509.extensions
import time:       423 |      10778 |                       cryptography.x509.base
import time:       244 |      24185 |                     cryptography.x509
import time:       219 |      24403 |                   joserfc._rfc7517.pem
import time:       242 |      31394 |                 joserfc._rfc7518.rsa_key
import time:       206 |        206 |                     cryptography.hazmat.primitives.kdf
import time:       172 |        378 |                   cryptography.hazmat.primitives.kdf.hkdf
import time:       606 |        606 |                   cryptography.hazmat.primitives.kdf.pbkdf2
import time:       314 |       1297 |                 joserfc._rfc7518.ec_key
import time:        96 |         96 |                   joserfc._rfc8037
import time:       390 |        486 |                 joserfc._rfc8037.okp_key
import time:       198 |      37780 |               joserfc._keys
import time:       608 |      38387 |             joserfc._rfc7515.registry
import time:       112 |        112 |             joserfc._rfc7515.compact
import time:       232 |        232 |             joserfc._rfc7515.json
import time:        85 |         85 |               joserfc._rfc7797
import time:       116 |        201 |             joserfc._rfc7797.util
