import time: self [us] | cumulative | imported package
import time:       113 |        113 |   _io
import time:        22 |         22 |   marshal
import time:       177 |        177 |   posix
import time:       511 |        821 | _frozen_importlib_external
import time:       892 |        892 |   time
import time:       159 |       1051 | zipimport
import time:       105 |        105 |     _codecs
import time:      1106 |       1211 |   codecs
import time:      2765 |       2765 |   encodings.aliases
import time:      2244 |       6219 | encodings
import time:       484 |        484 | encodings.utf_8
import time:        51 |         51 | _signal
import time:        28 |         28 |     _abc
import time:      1079 |       1107 |   abc
import time:       520 |       1626 | io
import time:        28 |         28 |       _stat
import time:       338 |        365 |     stat
import time:       955 |        955 |     _collections_abc
import time:       297 |        297 |       genericpath
import time:      1520 |       1817 |     posixpath
import time:       727 |       3862 |   os
import time:       249 |        249 |   _sitebuiltins
import time:       942 |        942 |   _virtualenv
import time:        39 |         39 |   sitecustomize
import time:      2145 |       7236 | site
import time:       119 |        119 |     backend
import time:       117 |        236 |   backend.app
import time:       363 |        363 |     starlette
import time:       338 |        338 |       __future__
import time:       557 |        557 |       warnings
import time:       438 |        438 |             types
import time:      1282 |       1720 |           enum
import time:      1400 |       3120 |         http
import time:       424 |        424 |             itertools
import time:      1157 |       1157 |             keyword
import time:        36 |         36 |               _operator
import time:       300 |        335 |             operator
import time:      1062 |       1062 |             reprlib
import time:        36 |         36 |             _collections
import time:       868 |       3881 |           collections
import time:      1866 |       5747 |         collections.abc
import time:       438 |       9304 |       starlette.exceptions
import time:       289 |      10486 |     starlette.status
import time:        31 |         31 |             _functools
import time:       446 |        477 |           functools
import time:       658 |       1134 |         contextlib
import time:        33 |         33 |             _sre
import time:       279 |        279 |               sre_constants
import time:       328 |        607 |             sre_parse
import time:       334 |        973 |           sre_compile
import time:        33 |         33 |           _locale
import time:       222 |        222 |           copyreg
import time:      1325 |       2552 |         re
import time:      1275 |       4959 |       typing
import time:       245 |        245 |         annotated_doc.main
import time:       223 |        468 |       annotated_doc
import time:       208 |        208 |             _weakrefset
import time:       349 |        557 |           weakref
import time:        44 |         44 |               org
import time:         9 |         53 |             org.python
import time:         9 |         61 |           org.python.core
import time:       240 |        857 |         copy
import time:       284 |        284 |           email
import time:      1915 |       1915 |             binascii
import time:       327 |       2242 |           uu
import time:       197 |        197 |           quopri
import time:      2309 |       2309 |               math
import time:      1344 |       1344 |                 _bisect
import time:       299 |       1643 |               bisect
import time:      1199 |       1199 |               _random
import time:      1309 |       1309 |               _sha512
import time:       553 |       7011 |             random
import time:      2993 |       2993 |               _socket
import time:      2009 |       2009 |                 select
import time:       430 |       2439 |               selectors
import time:        28 |         28 |               errno
import time:      2656 |       2656 |               array
import time:      1042 |       9157 |             socket
import time:      3244 |       3244 |               _datetime
import time:       881 |       4124 |             datetime
import time:      1284 |       1284 |               urllib
import time:       684 |       1968 |             urllib.parse
import time:       783 |        783 |                 locale
import time:       655 |       1438 |               calendar
import time:       805 |       2242 |             email._parseaddr
import time:      1515 |       1515 |                     _struct
import time:       193 |       1708 |                   struct
import time:       660 |       2367 |                 base64
import time:       329 |       2695 |               email.base64mime
import time:        13 |         13 |                   _string
import time:       428 |        441 |                 string
import time:       345 |        785 |               email.quoprimime
import time:      1086 |       1086 |               email.errors
import time:       180 |        180 |               email.encoders
import time:       381 |       5125 |             email.charset
import time:       350 |      29975 |           email.utils
import time:       491 |        491 |             email.header
import time:       275 |        766 |           email._policybase
import time:      1240 |       1240 |           email._encoded_words
import time:       183 |        183 |           email.iterators
import time:       538 |      35422 |         email.message
import time:       489 |        489 |             _ast
import time:       805 |       1294 |           ast
import time:       408 |        408 |               _opcode
import time:       293 |        700 |             opcode
import time:      1679 |       2379 |           dis
import time:       528 |        528 |             importlib
import time:       258 |        786 |           importlib.machinery
import time:       278 |        278 |               token
import time:      1676 |       1953 |             tokenize
import time:      2624 |       4576 |           linecache
import time:       994 |      10028 |         inspect
import time:      1820 |       1820 |               _json
import time:       321 |       2141 |             json.scanner
import time:       334 |       2474 |           json.decoder
import time:       722 |        722 |           json.encoder
import time:       250 |       3445 |         json
import time:      1020 |       1020 |           _contextvars
import time:       303 |       1322 |         contextvars
import time:       571 |        571 |         dataclasses
import time:       231 |        231 |             anyio._core
import time:       349 |        579 |           anyio._core._contextmanagers
import time:       610 |        610 |             threading
import time:       765 |        765 |               textwrap
import time:      1263 |       1263 |                     typing_extensions
import time:       327 |       1590 |                   exceptiongroup._exceptions
import time:      1094 |       2683 |                 exceptiongroup._catch
import time:       192 |        192 |                 exceptiongroup._version
import time:       420 |        420 |                   traceback
import time:       436 |        855 |                 exceptiongroup._formatting
import time:       214 |        214 |                 exceptiongroup._suppress
import time:       372 |       4315 |               exceptiongroup
import time:       300 |       5379 |             anyio._core._exceptions
import time:       168 |        168 |               sniffio._version
import time:       171 |        171 |               sniffio._impl
import time:       312 |        650 |             sniffio
import time:      1156 |       7793 |           anyio._core._eventloop
import time:       206 |        206 |               fnmatch
import time:        51 |         51 |                 _winapi
import time:        54 |         54 |                 nt
import time:        50 |         50 |                 nt
import time:        44 |         44 |                 nt
import time:        46 |         46 |                 nt
import time:       238 |        481 |               ntpath
import time:       931 |       1617 |             pathlib
import time:       436 |        436 |                   signal
import time:       429 |        864 |                 anyio.abc._eventloop
import time:       114 |        114 |                 anyio.abc._resources
import time:       705 |        705 |                   ipaddress
import time:       126 |        126 |                   anyio._core._typedattr
import time:       265 |        265 |                     anyio.abc._tasks
import time:       549 |        813 |                   anyio.abc._streams
import time:       403 |       2046 |                 anyio.abc._sockets
import time:       127 |        127 |                 anyio.abc._subprocesses
import time:       115 |        115 |                 anyio.abc._testing
import time:       609 |        609 |                   anyio.lowlevel
import time:       450 |        450 |                   anyio._core._tasks
import time:       225 |        225 |                   anyio._core._testing
import time:      1544 |       2827 |                 anyio._core._synchronization
import time:       218 |        218 |                     concurrent
import time:        20 |         20 |                         atexit
import time:      1286 |       1305 |                       logging
import time:       676 |       1981 |                     concurrent.futures._base
import time:       190 |       2387 |                   concurrent.futures
import time:      1533 |       3920 |                 anyio.from_thread
import time:       367 |      10376 |               anyio.abc
import time:       142 |      10518 |             anyio.to_thread
import time:      1047 |      13181 |           anyio._core._fileio
import time:       141 |        141 |           anyio._core._resources
import time:       284 |        284 |           anyio._core._signals
import time:     24819 |      24819 |               _ssl
import time:      8139 |      32958 |             ssl
import time:      1570 |       1570 |               anyio.streams
import time:      1101 |       2670 |             anyio.streams.stapled
import time:       946 |        946 |             anyio.streams.tls
import time:      5429 |       5429 |                     _heapq
import time:      1724 |       7152 |                   heapq
import time:      1344 |       1344 |                     fcntl
import time:        42 |         42 |                     msvcrt
import time:      2355 |       2355 |                     _posixsubprocess
import time:      1256 |       4996 |                   subprocess
import time:       229 |        229 |                   asyncio.constants
import time:       186 |        186 |                       asyncio.format_helpers
import time:       367 |        552 |                     asyncio.base_futures
import time:       163 |        163 |                     asyncio.log
import time:      1060 |       1775 |                   asyncio.coroutines
import time:       307 |        307 |                       asyncio.exceptions
import time:       207 |        207 |                       asyncio.base_tasks
import time:      2010 |       2524 |                     _asyncio
import time:       357 |       2881 |                   asyncio.events
import time:       301 |        301 |                   asyncio.futures
import time:       222 |        222 |                   asyncio.protocols
import time:       239 |        239 |                     asyncio.transports
import time:       374 |        613 |                   asyncio.sslproto
import time:       182 |        182 |                       asyncio.mixins
import time:       300 |        300 |                       asyncio.tasks
import time:       232 |        713 |                     asyncio.locks
import time:       265 |        978 |                   asyncio.staggered
import time:       201 |        201 |                   asyncio.trsock
import time:       854 |      20195 |                 asyncio.base_events
import time:       186 |        186 |                 asyncio.runners
import time:       220 |        220 |                 asyncio.queues
import time:       280 |        280 |                 asyncio.streams
import time:       183 |        183 |                 asyncio.subprocess
import time:       177 |        177 |                 asyncio.threads
import time:       275 |        275 |                   asyncio.base_subprocess
